Gobierno del Estado de Jalisco,,,,,
Presupuesto de egresos para el ejercicio fiscal 2018,,,,,
Unidad Presupuestal - Unidad Responsable y Programa Presupuestario,,,,,
UP,UR,PP,Programa Presupuestario,Importe,Year
13,160,451,Actividades del Consejo Estatal para la Cultura y las Artes,"1,003,017.00",2018
14,000,466,Conducción de la Secretaría del Trabajo y Previsión Social,"13,487,328.63",2018
14,000,467,Impartición de Justicia Laboral en el Estado,"153,987,717.63",2018
14,000,468,Procuración de Justicia Laboral y Conciliación Laboral Administrativa en el Estado,"27,508,950.00",2018
14,000,469,Programa de Apoyo para el fortalecimiento del Empleo en el Estado,"144,515,502.75",2018
14,000,471,Fomentar el Cumplimiento de la Normatividad Laboral y de Seguridad e Higiene del Estado,"23,098,585.27",2018
14,000,639,Administración de recursos de la Secretaría del Trabajo y Previsión Social,"76,860,866.85",2018
15,000,472,Resolución de procedimientos jurídicos en materia de movilidad en el Estado.,"55,533,087.84",2018
15,000,475,"Información Ciudadana y Administración Eficiente y Eficaz de los Recursos Humanos, Materiales y Financieros de la SEMOV","232,395,306.47",2018
15,000,477,Operación y mejoramiento de los dispositivos de control de tráfico.,"35,743,079.72",2018
15,000,479,Autorización en la aplicación de los lineamientos técnicos para modificación de la infraestructura vial.,"25,569,921.00",2018
15,000,480,Concesiones y Reordenamiento de rutas del Servicio de Transporte Público en sus diferentes modalidades,"28,469,059.95",2018
15,000,481,Profesionalización de los servidores públicos; sistematización y mejoramiento de los procesos.,"12,829,033.00",2018
15,000,484,Operación de la vigilancia vial.,"722,171,914.99",2018
15,000,485,Promoción de la cultura vial y servicios de movilidad.,"86,901,245.14",2018
15,000,486,Programa de Emisión de Licencias de Conducir,"66,684,909.20",2018
15,000,487,Operativo Salvando Vidas,"13,443,739.00",2018
15,075,488,Sistema de Tren Eléctrico Urbano.,"313,823,781.00",2018
15,076,478,Sistema de Bicicletas Públicas (Mibici),"100,444,034.00",2018
15,076,493,Movilidad y Transportes Sustentables.,"28,334,898.00",2018
15,161,483,Administración del registro y manejo de la información de los actos y actores de movilidad.,"8,617,501.37",2018
15,729,924,Programa de mejora de la Seguridad Vial,"393,484,740.00",2018
16,000,495,Productos Inteligentes Terminados,"104,046,446.64",2018
16,000,501,Difusión de Logros y Resultados de la Fiscalía General del Estado,"67,967,695.07",2018
16,000,502,Fortalecimiento Institucional de la Fiscalía General del Estado,"840,465,076.95",2018
16,000,508,Fortalecimiento del Sistema Legal Aplicable a la Fiscalía General del Estado,"51,131,610.81",2018
16,000,509,Información Estratégica para la Toma de Decisiones de la Fiscalía General del Estado,"6,966,896.20",2018
16,000,511,"Atención a denuncias, quejas, evaluaciones de eficacia y calidad en actuar de servidores y elementos.","34,545,944.38",2018
16,000,520,Representación Jurídica en la Seguridad Pública y la Procuración de Justicia,"161,700,954.37",2018
16,000,530,"Mecanismos y Coordinación para la Seguridad, el Orden y la Paz Pública en el Estado","2,376,854,367.18",2018
16,000,531,Reinserción de los Adultos y Adolescentes a la Sociedad,"350,774,042.23",2018
16,000,532,Centros Penitenciarios Mayores,"403,834,408.33",2018
16,000,534,Centros con Capacidad Media y CEINJURES,"382,572,365.72",2018
16,000,535,Atención Integral Para Adolescentes y Adultos Jóvenes en Conflicto con la Ley,"181,869,998.81",2018
16,000,536,Atención Integral a Preliberados y Liberados,"27,436,099.81",2018
16,000,537,Custodia y Vigilancia Penitenciaria,"162,622,058.38",2018
16,000,545,Atención Integral a Víctimas del Delito,"22,228,594.76",2018
16,000,550,"Estrategias de Inteligencia para la investigación, la Prevención, Persecución y Sanción de los Delitos","247,583,924.87",2018
16,000,551,Justicia restaurativa en favor de la Víctima,"14,256,280.00",2018
16,000,558,"Fortalecimiento para la Procuración de Justicia, Humanitaria, Pronta, Expedita con Estricto Apego a la Ley","20,105,591.10",2018
16,000,559,Coordinación y Gestión del Despacho del Fiscal Regional,"1,025,826.20",2018
16,000,560,Procuración de Justicia Pronta y Expedita,"149,114,786.34",2018
16,000,565,Carpetas de Investigación que se Judicializan en beneficio de la Sociedad,"170,048,588.16",2018
16,000,571,"Atención, Captación y Medidas de Protección a Víctimas del Delito","252,534,581.12",2018
16,000,576,Control de procesos del Sistema Tradicional,"2,689,490.97",2018
16,000,588,Investigar y Perseguir los Delitos Electorales de Orden Estatal,"13,069,638.00",2018
16,000,589,Desarrollo de Ejercicios Consultivos de Procuración de Justicia,"8,293,591.61",2018
16,000,922,Búsqueda y Localización de Personas Desaparecidas,"17,177,706.00",2018
16,078,579,Capacitación y talleres en Centros de Readaptación Social del Estado de Jalisco,"7,147,400.00",2018
16,086,735,Apoyo en las tareas y actividades de seguridad pública en el Estado de Jalisco,"500,000,000.00",2018
16,162,497,"Atención integral especializada a mujeres víctimas de violencia familiar, sexual o por razones de género, así como a sus hijas e hijos","28,703,373.26",2018
17,000,591,Apoyo jurídico gratuito y de calidad para la tranquilidad jurídica de los jaliscienses.,"15,104,007.02",2018
17,000,592,Defensa humana y eficiente a todos los Jaliscienses,"40,031,834.37",2018
17,000,593,Gobierno efectivo y eficiente,"60,417,189.82",2018
17,000,594,Observancia de la legalidad y el respeto de los derechos fundamentales de la ciudadanía.,"10,798,961.42",2018
17,000,595,Vigilancia y cumplimiento de los derechos patrimoniales y personales de los Jaliscienses.,"5,585,770.36",2018
18,000,597,Fortalecimiento Administrativo y de Recursos Humanos de la Contraloría,"23,373,829.30",2018
18,000,598,Realización de Auditorias a los Organismos Públicos Descentralizados y Fideicomisos,"13,344,154.00",2018
18,000,599,Despacho del Contralor,"7,042,183.00",2018
18,000,600,"Realización de Auditorias a Dependencias, OPD´s Sector Salud y Entidades Desconcentradas del Ejecutivo","17,612,250.00",2018
18,000,601,Verificación de Obra Pública del Estado,"21,190,709.00",2018
18,000,602,Programa para el fortalecimiento del Sistema Estatal Anticorrupción.,"12,568,623.00",2018
18,000,603,"Control Preventivo, Transparencia y Fiscalización de los Recursos Públicos","7,664,213.00",2018
18,000,923,Prevención y Sanción de las Prácticas de Corrupción,"7,197,321.00",2018
19,000,908,"Programa de Apoyo Logístico, Técnico, de Evaluación y Difusión de las actividades del C. Gobernador y la Proyección del Estado de Jalisco.","122,111,994.48",2018
19,000,911,Atención de Agenda y Coordinación de Actividades del C. Gobernador del Estado de Jalisco,"106,206,427.22",2018
20,000,615,Administración Transparente y eficiente del Tribunal de Arbitraje y Escalafón del Estado de Jalisco.,"18,317,010.86",2018
20,000,642,Impartición de Justicia Laboral para Servidores Públicos y Entidades Públicas del Estado y Municipios,"42,808,730.71",2018
22,000,695,Participaciones a Municipios del Estado de Jalisco,"15,320,200.00",2018
24,000,690,Poder Legislativo,"704,407,379.83",2018
24,146,691,Auditoría Superior del Estado,"298,213,716.00",2018
25,142,664,Proyectos prioritarios del Supremo Tribunal de Justicia,"542,850,250.00",2018
25,143,619,Instituto de Justicia Alternativa,"44,671,346.00",2018
25,145,621,Consejo de la Judicatura,"888,116,243.00",2018
26,000,624,Administración y Control Interno,"23,061,740.00",2018
26,000,625,Divulgación de los Derechos Humanos,"35,944,339.00",2018
26,000,626,Defensa y Protección de los Derechos Humanos,"92,007,116.52",2018
27,000,632,Administración de Recursos IEPC,"111,093,366.00",2018
27,000,633,Prerrogativas a Partidos Políticos IEPC,"440,260,489.00",2018
27,000,635,Proceso Electoral 2017-2018,"380,772,951.48",2018
27,000,803,Mecanismos de Participación Social,"4,250,000.00",2018
28,000,627,"Promoción de la cultura de la transparencia, rendición de cuentas y participación ciudadana.","8,517,968.69",2018
28,000,628,Desarrollo normativo y seguridad jurídica,"3,260,140.90",2018
28,000,629,Garantizar el derecho de acceso a la información pública y la protección de datos personales,"28,240,962.63",2018
28,000,640,"Planeación, proyectos y gestión administrativa","16,254,856.94",2018
29,000,689,Universidad de Guadalajara,"11,380,311,741.16",2018
30,000,630,Estudios y Análisis para la Competitividad y el Desarrollo del Estado de Jalisco.,"6,167,340.00",2018
30,000,631,Administración y Apoyo Logístico del CESJAL,"8,627,660.00",2018
31,000,617,Impartición de justicia electoral a la ciudadanía e investigación y capacitación en la materia,"68,328,634.00",2018
32,000,620,Tribunal de Justicia Administrativa del Estado de Jalisco,"123,995,727.20",2018
03,000,089,Coordinación del Proceso Presupuestario y Administración de los Recursos Materiales y Desarrollo de los Recursos Humanos,"33,400,000.00",2018
04,012,108,Gestión Administrativa y Operativa del CODE,"40,000,000.00",2018
13,072,465,"Programa de Operación, Promoción y Difusión de la Orquesta Filarmónica de Jalisco","10,000,000.00",2018
21,000,696,Deuda Pública del Gobierno del Estado de Jalisco,"2,718,634,457.79",2018
22,000,695,Participaciones a Municipios del Estado de Jalisco,"15,527,749,029.99",2018
23,000,726,Subsidios Federales para la Seguridad Pública (FORTASEG),"276,806,930.00",2018
23,000,727,Fondo de Aportaciones para el Fortalecimiento de los Municipios (FORTAMUN),"4,778,406,000.00",2018
23,000,728,Fondo de Aportaciones para la Infraestructura Social Municipal (FAISM),"1,558,595,000.00",2018
23,000,729,Fondo de Aportaciones para el Fortalecimiento de la Seguridad Pública de los Municipios,"100,000,000.00",2018
